Ativo_ID,Data,Valor
7,2025-03-31,30126.03
7,2025-04-05,30228.36
7,2025-04-15,30317.32
7,2025-04-19,30746.73
7,2025-04-28,30796.45
7,2025-05-01,30833.01
7,2025-05-10,30910.19
7,2025-05-19,30976.87
7,2025-05-27,31056.5
7,2025-06-01,31108.99
7,2025-06-07,31176.52
7,2025-06-13,31230.33
7,2025-06-20,25275.86
7,2025-06-27,25332.22
7,2025-07-01,25354.03
7,2025-07-12,25450.92
7,2025-07-17,25483.66
7,2025-07-28,25561.04
7,2025-08-01,25604.96
7,2025-08-12,25682.39
7,2025-08-22,25770.33
7,2025-08-29,25819.52
7,2025-09-09,25942.27
7,2025-09-19,26036.22
7,2025-10-01,26128.64
7,2025-10-25,26335.64
7,2025-10-31,26381.79
7,2025-11-10,26448.82
7,2025-11-21,26542.2
7,2025-11-28,26601.66
7,2025-12-12,26720.79
7,2025-12-19,26779.99
7,2026-01-01,41878.14
7,2026-01-24,20034.77
7,2026-01-30,20077.17
7,2026-02-16,20170.59
7,2026-02-27,20232.39
7,2026-03-09,20299.43
7,2026-03-20,20376.24
7,2026-03-31,20435.45
7,2026-04-17,20539.76
7,2026-05-01,20620.29
7,2026-05-13,20682.55
7,2026-05-30,20797.68
7,2026-06-09,20842.08
7,2026-06-16,20886.65
8,2026-02-16,10016.1
8,2026-02-27,10049.55
8,2026-03-09,10090.22
8,2026-03-20,10129.14
8,2026-03-31,10159.12
8,2026-04-17,10210.78
8,2026-05-01,10249.67
8,2026-05-13,10279.62
8,2026-05-30,8326.34
8,2026-06-09,8343.74
8,2026-06-16,8361.19
9,2024-01-06,63531.59
9,2024-01-13,63639.52
9,2024-01-20,63768.44
9,2024-01-27,63933.15
9,2024-01-30,63933.15
9,2024-02-03,64062.36
9,2024-02-10,64183.56
9,2024-02-17,64254.89
9,2024-02-24,64376.15
9,2024-03-01,64459.91
9,2024-03-09,64621.3
9,2024-03-16,64749.65
9,2024-03-23,64880.0
9,2024-03-30,65010.09
9,2024-04-06,65134.04
9,2024-04-13,65252.52
9,2024-04-20,65373.97
9,2024-05-01,65546.05
9,2024-05-04,65590.73
9,2024-05-11,65703.94
9,2024-05-18,65827.59
9,2024-05-25,65919.12
9,2024-06-01,65992.83
9,2024-06-08,66078.93
9,2024-06-15,66213.19
9,2024-06-22,66360.88
9,2024-06-29,66482.74
9,2024-07-06,66642.0
9,2024-07-13,66768.1
9,2024-07-20,66894.1
9,2024-07-27,67149.17
9,2024-08-01,67204.2
9,2024-08-13,67363.12
9,2024-08-17,67442.49
9,2024-08-24,67625.93
9,2024-09-02,67783.61
9,2024-09-07,67894.24
9,2024-09-30,68293.33
9,2024-10-05,68405.38
9,2024-10-18,68633.24
9,2024-10-25,62756.66
9,2024-11-01,60892.28
9,2024-11-09,61009.44
9,2024-11-16,61107.04
9,2024-11-23,61206.1
9,2024-11-30,61333.75
9,2024-12-07,61427.42
9,2024-12-14,61505.04
9,2024-12-21,61677.75
9,2024-12-28,61633.31
9,2024-12-31,61717.82
9,2025-01-09,61852.24
9,2025-01-17,61941.52
9,2025-01-24,62084.93
9,2025-01-31,62204.88
9,2025-02-10,62345.23
9,2025-02-17,62515.13
9,2025-02-22,62582.59
9,2025-03-01,62735.5
9,2025-03-08,62817.7
9,2025-03-12,92915.67
9,2025-03-21,93162.57
9,2025-03-28,63339.29
9,2025-03-31,63351.29
9,2025-04-05,63480.97
9,2025-04-15,63648.31
9,2025-04-19,63758.33
9,2025-04-28,63973.75
9,2025-05-01,64017.15
9,2025-05-10,64125.25
9,2025-05-19,64266.95
9,2025-05-27,64476.94
9,2025-06-01,64578.41
9,2025-06-07,64720.94
9,2025-06-13,64883.84
9,2025-06-20,64986.05
9,2025-06-27,65165.5
9,2025-07-01,65223.52
9,2025-07-12,65497.71
9,2025-07-17,65609.98
9,2025-07-28,95997.93
9,2025-08-01,91146.41
9,2025-08-12,91373.57
9,2025-08-22,92024.84
9,2025-08-29,92223.19
9,2025-09-09,92538.61
9,2025-09-19,92885.29
9,2025-10-01,93241.43
9,2025-10-25,93991.96
9,2025-10-31,94185.05
9,2025-11-10,94453.3
9,2025-11-21,94815.41
9,2025-11-28,95034.23
9,2025-12-12,95290.79
9,2025-12-19,95498.07
9,2026-01-01,95917.69
9,2026-01-24,96610.82
9,2026-01-30,96806.63
9,2026-02-16,97190.95
9,2026-02-27,97399.92
9,2026-03-09,97655.22
9,2026-03-20,97978.18
9,2026-03-31,78033.06
9,2026-04-17,78517.28
9,2026-05-01,64790.36
9,2026-05-13,65055.25
9,2026-05-30,65452.88
9,2026-06-09,65647.52
9,2026-06-16,55755.53
10,2026-03-31,19953.43
10,2026-04-17,19995.92
10,2026-05-01,20104.06
10,2026-05-13,20205.67
10,2026-05-30,20298.41
10,2026-06-09,20337.83
10,2026-06-16,20394.19
11,2025-04-15,996.05
11,2025-04-19,997.37
11,2025-04-28,1000.71
11,2025-05-01,1001.89
11,2025-05-10,1005.5
11,2025-05-19,1009.1
11,2025-05-27,1012.66
11,2025-06-01,1014.24
11,2025-06-07,1016.91
11,2025-06-13,1019.06
11,2025-06-20,1021.06
11,2025-06-27,1023.53
11,2025-07-01,1024.47
11,2025-07-12,1028.53
11,2025-07-17,1030.52
11,2025-07-28,1033.91
11,2025-08-01,1036.09
11,2025-08-12,1039.42
11,2025-08-22,1043.45
11,2025-08-29,1045.68
11,2025-09-09,1047.98
11,2025-09-19,1050.78
11,2025-10-01,1054.5
11,2025-10-25,1065.4
11,2025-10-31,1067.68
11,2025-11-10,1070.51
11,2025-11-21,1073.75
11,2025-11-28,1076.09
11,2025-12-12,1080.99
11,2025-12-19,1083.46
11,2026-01-01,1087.79
11,2026-01-24,1096.53
11,2026-01-30,1099.44
11,2026-02-16,1105.25
11,2026-02-27,1110.0
11,2026-03-09,1114.71
11,2026-03-20,1122.19
11,2026-03-31,1127.93
11,2026-04-17,1139.55
11,2026-05-01,1146.19
11,2026-05-13,1152.67
11,2026-05-30,1162.08
11,2026-06-09,1165.25
11,2026-06-16,1170.33
12,2025-05-19,1974.37
12,2025-05-27,1984.37
12,2025-06-01,1987.71
12,2025-06-07,1993.29
12,2025-06-13,1998.24
12,2025-06-20,2002.28
12,2025-06-27,2007.33
12,2025-07-01,2009.36
12,2025-07-12,2017.02
12,2025-07-17,2020.98
12,2025-07-28,2027.67
12,2025-08-01,2031.56
12,2025-08-12,2038.89
12,2025-08-22,2046.86
12,2025-08-29,2051.85
12,2025-09-09,2058.13
12,2025-09-19,2063.44
12,2025-10-01,2068.73
12,2025-10-25,2088.07
12,2025-10-31,2094.26
12,2025-11-10,2100.79
12,2025-11-21,2107.64
12,2025-11-28,2112.04
12,2025-12-12,2121.42
12,2025-12-19,2126.41
12,2026-01-01,2134.47
12,2026-01-24,2150.95
12,2026-01-30,2156.52
12,2026-02-16,2168.24
12,2026-02-27,2177.93
12,2026-03-09,2185.82
12,2026-03-20,2200.23
12,2026-03-31,2211.4
12,2026-04-17,2232.16
12,2026-05-01,2247.13
12,2026-05-13,2260.07
12,2026-05-30,2278.53
12,2026-06-09,2287.58
12,2026-06-16,2295.37
13,2025-05-27,9950.56
13,2025-06-01,9984.84
13,2025-06-07,10012.02
13,2025-06-13,10034.93
13,2025-06-20,10055.2
13,2025-06-27,10080.59
13,2025-07-01,10089.02
13,2025-07-12,10128.35
13,2025-07-17,10147.0
13,2025-07-28,10182.37
13,2025-08-01,10204.65
13,2025-08-12,10238.2
13,2025-08-22,10278.21
13,2025-08-29,10303.28
13,2025-09-09,10325.86
13,2025-09-19,10353.2
13,2025-10-01,10386.09
13,2025-10-25,10490.62
13,2025-10-31,10518.64
13,2025-11-10,10546.83
13,2025-11-21,10579.69
13,2025-11-28,10601.8
13,2025-12-12,10650.65
13,2025-12-19,10675.67
13,2026-01-01,10717.74
13,2026-01-24,10802.23
13,2026-01-30,10830.84
13,2026-02-16,10890.36
13,2026-02-27,10938.21
13,2026-03-09,10981.24
13,2026-03-20,11056.53
13,2026-03-31,11109.85
13,2026-04-17,11219.67
13,2026-05-01,11291.49
13,2026-05-13,11354.23
13,2026-05-30,11449.0
13,2026-06-09,11491.94
13,2026-06-16,11532.9
14,2025-05-19,10374.65
14,2025-05-27,10434.84
14,2025-06-01,10454.98
14,2025-06-07,10488.64
14,2025-06-13,10522.41
14,2025-06-20,10549.5
14,2025-06-27,10584.01
14,2025-07-01,10597.87
14,2025-07-12,10653.36
14,2025-07-17,10681.22
14,2025-07-28,10730.16
14,2025-08-01,10758.23
